epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49768,2.37852,3.50107,1.8042,0.00233,0.00628,0.00121,0.00024,1.22132,3.35499,1.29504,0.0004,0.0004,0.0004
2,9.17332,1.55214,3.25992,1.40319,0.13967,0.37612,0.13628,0.04914,1.51684,2.99515,1.08021,0.000813235,0.000813235,0.000813235
3,13.663,1.45746,3.24632,1.3776,0.20833,0.56104,0.25442,0.07431,1.4659,2.9855,1.14404,0.00121954,0.00121954,0.00121954
4,18.1271,1.6302,3.02695,1.34401,0.20833,0.56104,0.25442,0.07431,1.4659,2.9855,1.14404,0.00161892,0.00161892,0.00161892
5,22.2301,1.55418,3.01669,1.31936,0.20833,0.56104,0.25442,0.07431,1.4659,2.9855,1.14404,0.001934,0.001934,0.001934
6,26.2541,1.61233,2.97147,1.34572,0.16053,0.42549,0.17111,0.05429,1.6214,2.36981,1.46571,0.0019175,0.0019175,0.0019175
7,30.9381,1.81173,2.77599,1.40006,0.16053,0.42549,0.17111,0.05429,1.6214,2.36981,1.46571,0.001901,0.001901,0.001901
8,34.6084,1.72325,2.71484,1.38133,0.16053,0.42549,0.17111,0.05429,1.6214,2.36981,1.46571,0.0018845,0.0018845,0.0018845
9,38.3831,1.69405,2.69319,1.39059,0.45967,0.5368,0.42509,0.16457,1.83414,1.77319,1.5177,0.001868,0.001868,0.001868
10,43.4799,1.85127,2.35797,1.45426,0.45967,0.5368,0.42509,0.16457,1.83414,1.77319,1.5177,0.0018515,0.0018515,0.0018515
11,47.2612,1.81584,2.49026,1.43263,0.45967,0.5368,0.42509,0.16457,1.83414,1.77319,1.5177,0.001835,0.001835,0.001835
12,50.9723,1.83639,2.42534,1.44919,0.63821,0.78815,0.6684,0.33618,1.45722,1.33196,1.31382,0.0018185,0.0018185,0.0018185
13,55.5025,1.45957,2.16504,1.2959,0.63821,0.78815,0.6684,0.33618,1.45722,1.33196,1.31382,0.001802,0.001802,0.001802
14,59.7259,1.40564,2.03269,1.28244,0.63821,0.78815,0.6684,0.33618,1.45722,1.33196,1.31382,0.0017855,0.0017855,0.0017855
15,63.9093,1.46683,2.15685,1.27996,0.63821,0.78815,0.6684,0.33618,1.45722,1.33196,1.31382,0.001769,0.001769,0.001769
16,69.58,1.6807,1.90137,1.37522,0.62856,0.78097,0.73602,0.34955,1.56934,1.44482,1.4211,0.0017525,0.0017525,0.0017525
17,73.6018,1.68356,1.94224,1.37377,0.62856,0.78097,0.73602,0.34955,1.56934,1.44482,1.4211,0.001736,0.001736,0.001736
18,77.4004,1.70534,1.92282,1.42041,0.62856,0.78097,0.73602,0.34955,1.56934,1.44482,1.4211,0.0017195,0.0017195,0.0017195
19,81.4179,1.51178,1.66775,1.3357,0.72068,0.77558,0.79584,0.44468,1.27415,1.49091,1.31052,0.001703,0.001703,0.001703
20,86.2825,1.47972,1.70218,1.31027,0.72068,0.77558,0.79584,0.44468,1.27415,1.49091,1.31052,0.0016865,0.0016865,0.0016865
21,90.0629,1.45625,1.64143,1.32749,0.72068,0.77558,0.79584,0.44468,1.27415,1.49091,1.31052,0.00167,0.00167,0.00167
22,94.1093,1.4738,1.5413,1.33149,0.75246,0.82405,0.83463,0.439,1.40433,1.55975,1.297,0.0016535,0.0016535,0.0016535
23,99.2888,1.471,1.47516,1.33486,0.75246,0.82405,0.83463,0.439,1.40433,1.55975,1.297,0.001637,0.001637,0.001637
24,103.008,1.46765,1.43125,1.30997,0.75246,0.82405,0.83463,0.439,1.40433,1.55975,1.297,0.0016205,0.0016205,0.0016205
25,106.81,1.4085,1.38421,1.30057,0.82316,0.86086,0.88015,0.51954,1.32134,1.23245,1.29858,0.001604,0.001604,0.001604
26,111.561,1.44137,1.34324,1.29559,0.82316,0.86086,0.88015,0.51954,1.32134,1.23245,1.29858,0.0015875,0.0015875,0.0015875
27,115.522,1.40448,1.36892,1.32462,0.82316,0.86086,0.88015,0.51954,1.32134,1.23245,1.29858,0.001571,0.001571,0.001571
28,119.52,1.3232,1.29216,1.27497,0.81455,0.86804,0.88314,0.58116,1.13472,1.16139,1.24471,0.0015545,0.0015545,0.0015545
29,123.706,1.28268,1.24158,1.25894,0.81455,0.86804,0.88314,0.58116,1.13472,1.16139,1.24471,0.001538,0.001538,0.001538
